Day,TimeSlot,Room,Course,Year,Division,Subject,Teacher
Monday,08:00-09:00,2013,CS,FY,A,CN - Computer Networks,AAB
Monday,08:00-09:00,1100,CS,FY,C,IKS - Indian Knowledge System,JAK
Monday,08:00-09:00,4324,CS,FY,D,SRM - Scientific Research Methods,VKJ
Monday,08:00-09:00,4100,CS,SY,A,RAAD - Reasoning and Aptitude Dev.,JAK
Monday,08:00-09:00,4009,CS,SY,B,DBMS - Database Management Systems,PNM
Monday,08:00-09:00,4200,CS,SY,C,GP - General Proficiency,VKJ
Monday,08:00-09:00,2309,CS,SY,D,RAAD - Reasoning and Aptitude Dev.,SRH
Monday,08:00-09:00,3203,CS,SY,E,AI - Artificial Intelligence,AMK
Monday,08:00-09:00,1209,CS,TY,A,WD - Web Development,VKJ
Monday,08:00-09:00,4112,CS,TY,C,ML - Machine Learning,VKJ
Monday,08:00-09:00,3316,CS,TY,D,IKS - Indian Knowledge System,AAB
Monday,08:00-09:00,3012,CS,TY,E,RAAD - Reasoning and Aptitude Dev.,JAK
Monday,08:00-09:00,2218,CS,LY,C,AI - Artificial Intelligence,PNM
Monday,08:00-09:00,1114,CS,LY,D,COA - Computer Org. & Architecture,AMK
Monday,08:00-09:00,1204,CS,LY,E,DBMS - Database Management Systems,KGT
Monday,08:00-09:00,2207,IT,FY,B,GP - General Proficiency,SRH
Monday,08:00-09:00,1002,IT,FY,C,AI - Artificial Intelligence,VKJ
Monday,08:00-09:00,4123,IT,FY,D,IKS - Indian Knowledge System,SRH
Monday,08:00-09:00,3317,IT,FY,E,SRM - Scientific Research Methods,KGT
Monday,08:00-09:00,1120,IT,SY,A,OS - Operating Systems,SRH
Monday,08:00-09:00,2324,IT,SY,B,LADE - Linear Algebra & Diff. Equations,AAB
Monday,08:00-09:00,3117,IT,SY,C,OS - Operating Systems,JAK
Monday,08:00-09:00,1013,IT,SY,D,WD - Web Development,PNM
Monday,08:00-09:00,1216,IT,SY,E,DBMS - Database Management Systems,AMK
Monday,08:00-09:00,1013,IT,TY,A,COA - Computer Org. & Architecture,PNM
Monday,08:00-09:00,1018,IT,TY,B,SRM - Scientific Research Methods,KGT
Monday,08:00-09:00,4313,IT,TY,C,LADE - Linear Algebra & Diff. Equations,JAK
Monday,08:00-09:00,3317,IT,LY,A,PSP - Problem Solving & Programming,PNM
Monday,08:00-09:00,3201,IT,LY,B,AI - Artificial Intelligence,AMK
Monday,08:00-09:00,4013,IT,LY,C,GP - General Proficiency,PNM
Monday,08:00-09:00,4002,IT,LY,D,GP - General Proficiency,AAB
Monday,08:00-09:00,2019,IT,LY,E,LADE - Linear Algebra & Diff. Equations,AMK
Monday,08:00-09:00,1216,CS(AI),FY,A,WD - Web Development,PNM
Monday,08:00-09:00,2003,CS(AI),FY,B,IKS - Indian Knowledge System,VKJ
Monday,08:00-09:00,4324,CS(AI),FY,D,AI - Artificial Intelligence,PNM
Monday,08:00-09:00,1003,CS(AI),FY,E,CN - Computer Networks,JAK
Monday,08:00-09:00,1106,CS(AI),SY,A,CN - Computer Networks,SRH
Monday,08:00-09:00,2308,CS(AI),SY,B,SRM - Scientific Research Methods,AAB
Monday,08:00-09:00,1111,CS(AI),SY,C,IKS - Indian Knowledge System,VKJ
Monday,08:00-09:00,3324,CS(AI),TY,A,PSP - Problem Solving & Programming,KGT
Monday,08:00-09:00,3310,CS(AI),TY,B,OS - Operating Systems,KGT
Monday,08:00-09:00,2122,CS(AI),TY,D,LADE - Linear Algebra & Diff. Equations,SRH
Monday,08:00-09:00,1110,CS(AI),TY,E,PSP - Problem Solving & Programming,PNM
Monday,08:00-09:00,2303,CS(AI),LY,B,PSP - Problem Solving & Programming,AMK
Monday,08:00-09:00,3219,CS(AI),LY,C,RAAD - Reasoning and Aptitude Dev.,AAB
Monday,08:00-09:00,1119,CS(AI),LY,D,ML - Machine Learning,SRH
Monday,08:00-09:00,4012,CS(AI),LY,E,COA - Computer Org. & Architecture,SRH
Monday,08:00-09:00,4004,CS(AIML),FY,A,OS - Operating Systems,AMK
Monday,08:00-09:00,1000,CS(AIML),FY,B,SRM - Scientific Research Methods,AMK
Monday,08:00-09:00,2124,CS(AIML),FY,D,PSP - Problem Solving & Programming,PNM
Monday,08:00-09:00,4210,CS(AIML),SY,D,AI - Artificial Intelligence,KGT
Monday,08:00-09:00,1212,CS(AIML),TY,A,LADE - Linear Algebra & Diff. Equations,JAK
Monday,08:00-09:00,1205,CS(AIML),TY,C,RAAD - Reasoning and Aptitude Dev.,AAB
Monday,08:00-09:00,1003,CS(AIML),TY,D,PSP - Problem Solving & Programming,JAK
Monday,08:00-09:00,3220,CS(AIML),TY,E,DBMS - Database Management Systems,VKJ
Monday,08:00-09:00,3002,CS(AIML),LY,A,CN - Computer Networks,KGT
Monday,08:00-09:00,2101,CS(AIML),LY,B,GP - General Proficiency,SRH
Monday,08:00-09:00,4316,CS(AIML),LY,C,IKS - Indian Knowledge System,VKJ
Monday,08:00-09:00,2012,CS(AIML),LY,D,CN - Computer Networks,KGT
Monday,08:00-09:00,3105,AIDS,FY,A,COA - Computer Org. & Architecture,PNM
Monday,08:00-09:00,3307,AIDS,FY,B,WD - Web Development,JAK
Monday,08:00-09:00,3005,AIDS,FY,C,GP - General Proficiency,VKJ
Monday,08:00-09:00,3007,AIDS,FY,D,DBMS - Database Management Systems,AMK
Monday,08:00-09:00,4303,AIDS,FY,E,RAAD - Reasoning and Aptitude Dev.,AAB
Monday,08:00-09:00,2115,AIDS,SY,A,WD - Web Development,PNM
Monday,08:00-09:00,4012,AIDS,SY,B,GP - General Proficiency,JAK
Monday,08:00-09:00,4322,AIDS,SY,D,PSP - Problem Solving & Programming,KGT
Monday,08:00-09:00,1024,AIDS,SY,E,WD - Web Development,JAK
Monday,08:00-09:00,3302,AIDS,TY,A,LADE - Linear Algebra & Diff. Equations,PNM
Monday,08:00-09:00,2207,AIDS,TY,B,DBMS - Database Management Systems,KGT
Monday,08:00-09:00,4219,AIDS,TY,C,GP - General Proficiency,JAK
Monday,08:00-09:00,1024,AIDS,TY,D,IKS - Indian Knowledge System,PNM
Monday,08:00-09:00,3203,AIDS,TY,E,LADE - Linear Algebra & Diff. Equations,AAB
Monday,08:00-09:00,4306,AIDS,LY,A,COA - Computer Org. & Architecture,AAB
Monday,08:00-09:00,4215,AIDS,LY,C,IKS - Indian Knowledge System,SRH
Monday,08:00-09:00,3102,AIDS,LY,D,AI - Artificial Intelligence,JAK
Monday,08:00-09:00,1114,AIDS,LY,E,RAAD - Reasoning and Aptitude Dev.,AAB
Monday,09:00-10:00,2007,CS,FY,B,RAAD - Reasoning and Aptitude Dev.,SRH
Monday,09:00-10:00,2003,CS,FY,D,WD - Web Development,VKJ
Monday,09:00-10:00,3017,CS,SY,A,IKS - Indian Knowledge System,AMK
Monday,09:00-10:00,2211,CS,SY,B,GP - General Proficiency,KGT
Monday,09:00-10:00,3204,CS,SY,C,ML - Machine Learning,PNM
Monday,09:00-10:00,3102,CS,SY,E,LADE - Linear Algebra & Diff. Equations,JAK
Monday,09:00-10:00,4015,CS,TY,B,LADE - Linear Algebra & Diff. Equations,KGT
Monday,09:00-10:00,2118,CS,TY,C,COA - Computer Org. & Architecture,VKJ
Monday,09:00-10:00,2005,CS,TY,D,LADE - Linear Algebra & Diff. Equations,PNM
Monday,09:00-10:00,3202,CS,TY,E,SRM - Scientific Research Methods,SRH
Monday,09:00-10:00,4202,CS,LY,A,OS - Operating Systems,VKJ
Monday,09:00-10:00,1003,CS,LY,C,LADE - Linear Algebra & Diff. Equations,SRH
Monday,09:00-10:00,3019,CS,LY,D,DBMS - Database Management Systems,JAK
Monday,09:00-10:00,4321,CS,LY,E,CN - Computer Networks,PNM
Monday,09:00-10:00,3202,IT,FY,B,ML - Machine Learning,PNM
Monday,09:00-10:00,4117,IT,FY,C,DBMS - Database Management Systems,JAK
