Day,TimeSlot,Room,Course,Year,Division,Subject,Teacher
friday,08:00-09:00,1014,AIDS,FY,B,ML - Machine Learning,VKJ
friday,08:00-09:00,1017,CS(AIML),FY,A,CN - Computer Networks,KGT
friday,08:00-09:00,1019,CS,SY,B,LADE - Linear Algebra & Diff. Equations,AMK
friday,08:00-09:00,1100,CS(AI),LY,E,COA - Computer Org. & Architecture,KGT
friday,08:00-09:00,1108,CS,FY,B,LADE - Linear Algebra & Diff. Equations,AAB
friday,08:00-09:00,1113,CS(AI),LY,C,SRM - Scientific Research Methods,JAK
friday,08:00-09:00,1121,IT,SY,D,CN - Computer Networks,KGT
friday,08:00-09:00,1201,CS(AIML),LY,D,ML - Machine Learning,SRH
friday,08:00-09:00,1202,CS(AI),FY,E,DBMS - Database Management Systems,KGT
friday,08:00-09:00,1203,CS(AI),SY,C,DBMS - Database Management Systems,KGT
friday,08:00-09:00,1206,AIDS,LY,C,ML - Machine Learning,VKJ
friday,08:00-09:00,1211,AIDS,FY,D,PSP - Problem Solving & Programming,KGT
friday,08:00-09:00,1215,CS,FY,A,RAAD - Reasoning and Aptitude Dev.,AMK
friday,08:00-09:00,1222,CS,LY,E,PSP - Problem Solving & Programming,KGT
friday,08:00-09:00,1319,CS,FY,D,OS - Operating Systems,KGT
friday,08:00-09:00,2008,CS(AIML),SY,D,CN - Computer Networks,AAB
friday,08:00-09:00,2009,CS,LY,A,GP - General Proficiency,SRH
friday,08:00-09:00,2016,CS(AI),FY,C,DBMS - Database Management Systems,SRH
friday,08:00-09:00,2018,CS(AIML),TY,C,GP - General Proficiency,PNM
friday,08:00-09:00,2021,CS(AI),FY,B,CN - Computer Networks,AAB
friday,08:00-09:00,2023,CS(AI),SY,A,CN - Computer Networks,AMK
friday,08:00-09:00,2108,IT,FY,D,PSP - Problem Solving & Programming,SRH
friday,08:00-09:00,2115,IT,TY,B,RAAD - Reasoning and Aptitude Dev.,VKJ
friday,08:00-09:00,2124,AIDS,LY,D,SRM - Scientific Research Methods,VKJ
friday,08:00-09:00,2201,AIDS,TY,B,RAAD - Reasoning and Aptitude Dev.,SRH
friday,08:00-09:00,2209,CS(AIML),TY,B,SRM - Scientific Research Methods,JAK
friday,08:00-09:00,2210,CS,FY,C,DBMS - Database Management Systems,PNM
friday,08:00-09:00,2223,CS(AIML),LY,A,COA - Computer Org. & Architecture,PNM
friday,08:00-09:00,2306,IT,LY,B,IKS - Indian Knowledge System,JAK
friday,08:00-09:00,2312,IT,LY,E,RAAD - Reasoning and Aptitude Dev.,VKJ
friday,08:00-09:00,2314,CS,SY,D,PSP - Problem Solving & Programming,KGT
friday,08:00-09:00,2315,AIDS,SY,E,WD - Web Development,AMK
friday,08:00-09:00,2323,CS,SY,A,AI - Artificial Intelligence,AMK
friday,08:00-09:00,2323,CS(AI),TY,D,GP - General Proficiency,AMK
friday,08:00-09:00,2324,CS(AI),LY,A,DBMS - Database Management Systems,AMK
friday,08:00-09:00,3008,IT,TY,E,RAAD - Reasoning and Aptitude Dev.,VKJ
friday,08:00-09:00,3015,CS(AIML),FY,D,LADE - Linear Algebra & Diff. Equations,AMK
friday,08:00-09:00,3018,CS,SY,C,RAAD - Reasoning and Aptitude Dev.,JAK
friday,08:00-09:00,3018,IT,TY,C,RAAD - Reasoning and Aptitude Dev.,PNM
friday,08:00-09:00,3102,CS(AI),FY,A,GP - General Proficiency,AAB
friday,08:00-09:00,3106,CS(AI),FY,D,GP - General Proficiency,PNM
friday,08:00-09:00,3108,CS,LY,C,GP - General Proficiency,VKJ
friday,08:00-09:00,3111,IT,TY,D,OS - Operating Systems,SRH
friday,08:00-09:00,3202,AIDS,FY,A,RAAD - Reasoning and Aptitude Dev.,KGT
friday,08:00-09:00,3202,AIDS,TY,A,GP - General Proficiency,PNM
friday,08:00-09:00,3202,IT,TY,A,OS - Operating Systems,PNM
friday,08:00-09:00,3203,AIDS,SY,C,LADE - Linear Algebra & Diff. Equations,JAK
friday,08:00-09:00,3205,IT,SY,B,CN - Computer Networks,PNM
friday,08:00-09:00,3206,IT,SY,C,CN - Computer Networks,AAB
friday,08:00-09:00,3207,AIDS,TY,D,ML - Machine Learning,PNM
friday,08:00-09:00,3217,CS,TY,E,DBMS - Database Management Systems,AAB
friday,08:00-09:00,3223,AIDS,TY,C,GP - General Proficiency,AAB
friday,08:00-09:00,3309,CS,TY,C,ML - Machine Learning,SRH
friday,08:00-09:00,3310,AIDS,SY,D,CN - Computer Networks,VKJ
friday,08:00-09:00,3311,AIDS,FY,C,COA - Computer Org. & Architecture,AMK
friday,08:00-09:00,3315,CS(AIML),SY,B,LADE - Linear Algebra & Diff. Equations,KGT
friday,08:00-09:00,3322,CS(AIML),TY,D,RAAD - Reasoning and Aptitude Dev.,KGT
friday,08:00-09:00,3324,CS(AI),LY,B,OS - Operating Systems,AAB
friday,08:00-09:00,4000,CS(AIML),SY,C,COA - Computer Org. & Architecture,PNM
friday,08:00-09:00,4006,IT,LY,A,PSP - Problem Solving & Programming,VKJ
friday,08:00-09:00,4009,IT,FY,C,AI - Artificial Intelligence,AMK
friday,08:00-09:00,4021,CS(AI),TY,B,IKS - Indian Knowledge System,VKJ
friday,08:00-09:00,4101,CS,LY,B,WD - Web Development,AMK
friday,08:00-09:00,4106,IT,FY,B,IKS - Indian Knowledge System,AMK
friday,08:00-09:00,4110,AIDS,SY,A,CN - Computer Networks,JAK
friday,08:00-09:00,4114,CS(AIML),LY,B,SRM - Scientific Research Methods,AMK
friday,08:00-09:00,4118,IT,LY,D,PSP - Problem Solving & Programming,PNM
friday,08:00-09:00,4119,CS,TY,A,PSP - Problem Solving & Programming,PNM
friday,08:00-09:00,4119,AIDS,LY,E,CN - Computer Networks,VKJ
friday,08:00-09:00,4121,AIDS,LY,A,GP - General Proficiency,SRH
friday,08:00-09:00,4123,IT,FY,E,CN - Computer Networks,SRH
friday,08:00-09:00,4206,CS(AIML),FY,E,WD - Web Development,PNM
friday,08:00-09:00,4217,CS,LY,D,RAAD - Reasoning and Aptitude Dev.,JAK
friday,08:00-09:00,4218,CS(AIML),TY,E,LADE - Linear Algebra & Diff. Equations,AAB
friday,08:00-09:00,4304,AIDS,SY,B,RAAD - Reasoning and Aptitude Dev.,PNM
friday,08:00-09:00,4307,CS(AIML),FY,C,RAAD - Reasoning and Aptitude Dev.,AMK
friday,08:00-09:00,4322,AIDS,TY,E,OS - Operating Systems,KGT
friday,08:00-09:00,4324,IT,SY,A,AI - Artificial Intelligence,PNM
friday,09:00-10:00,1008,IT,TY,D,RAAD - Reasoning and Aptitude Dev.,AMK
friday,09:00-10:00,1017,AIDS,FY,E,WD - Web Development,VKJ
friday,09:00-10:00,1018,CS,TY,B,OS - Operating Systems,PNM
friday,09:00-10:00,1019,CS(AIML),TY,C,DBMS - Database Management Systems,AMK
friday,09:00-10:00,1023,IT,SY,A,CN - Computer Networks,JAK
friday,09:00-10:00,1108,AIDS,LY,A,RAAD - Reasoning and Aptitude Dev.,KGT
friday,09:00-10:00,1202,CS(AI),SY,E,PSP - Problem Solving & Programming,PNM
friday,09:00-10:00,1212,CS(AI),TY,B,COA - Computer Org. & Architecture,PNM
friday,09:00-10:00,1220,CS,SY,D,COA - Computer Org. & Architecture,PNM
friday,09:00-10:00,1314,CS(AIML),LY,A,COA - Computer Org. & Architecture,PNM
friday,09:00-10:00,1315,CS(AI),TY,E,LADE - Linear Algebra & Diff. Equations,AAB
friday,09:00-10:00,1322,AIDS,SY,C,PSP - Problem Solving & Programming,SRH
friday,09:00-10:00,2002,IT,LY,A,ML - Machine Learning,SRH
friday,09:00-10:00,2013,CS,SY,E,LADE - Linear Algebra & Diff. Equations,AMK
friday,09:00-10:00,2019,CS(AIML),FY,C,LADE - Linear Algebra & Diff. Equations,VKJ
friday,09:00-10:00,2024,IT,FY,A,AI - Artificial Intelligence,SRH
friday,09:00-10:00,2024,AIDS,FY,B,IKS - Indian Knowledge System,JAK
friday,09:00-10:00,2107,CS(AIML),LY,E,COA - Computer Org. & Architecture,AAB
